Object Id,Average Velocity,Average Delta Altitude,Max Velocity,Average Delta longitude,Average Delta latitude,Average Delta time,longitude traverse,latitude traverse,Altitude Traverse,Time taken
1,4673.661323,49114.506,5356.075,85166.01,99393.105,30.60053,85166.01,99393.105,473.602,30.60053
2,4799.599286,22395.964,5104.498,153211.624,164707.278,51.00083,68045.197,65324.849,496.907,20.4003
3,4712.085519,37293.3714,5251.579,159104.508,138886.762,46.92074,91083.064,73555.966,1705.8324,26.52044
4,4468.894174,28139.5784,4859.402,159236.982,140032.864,48.96079,68126.626,66483.902,319.152,22.44035
5,4743.93504,31669.7,5174.293,146887.15,143204.636,46.92074,78744.085,76733.228,80.235,24.48039
6,4791.364355,49114.974,5457.408,176970.656,169020.574,55.08092,98274.718,92265.407,412.663,30.60053
7,4794.22919,22204.0027,5112.976,160648.358,162864.972,51.00083,62367.374,70608.341,1154.2947,20.4003
8,4600.77332,32622.4117,5061.005,136588.154,146629.482,44.88069,74173.172,76068.901,812.25,24.48039
9,4665.498333,22633.3749,4994.225,140739.978,138828.828,44.88069,66594.854,62721.804,1231.3449,20.4003
10,5133.485758,57169.5259,5854.737,178809.722,168473.974,53.04088,112251.206,105751.537,1015.507,32.64058
11,4523.114714,40818.475,5091.685,196417.686,184714.536,60.18104,84125.298,78973.908,58.111,27.54046
12,4832.473143,21851.662,5132.889,154992.862,142246.96,47.94076,70900.861,63264.125,289.022,20.4003
13,4454.647233,46162.7444,5133.171,156616.464,147632.114,49.98081,85704.547,84345.072,986.0904,29.58051
14,4840.514963,37855.7514,5355.335,168513.804,172132.752,56.10095,82791.907,87830.311,1010.088,26.52044
15,4559.814577,34957.4,5047.401,163260.984,161429.802,52.02086,80485.307,73530.836,150.651,25.50042
16,4706.961571,40081.8284,5276.22,167190.418,157624.778,53.04088,86704.249,84126.844,1233.3734,27.54046
17,4687.456227,25199.0914,5022.814,155874.39,151028.22,48.96078,69105.485,66884.25,142.334,21.42032
18,4737.244562,52649.528,5456.561,159099.21,169619.432,53.04088,90039.595,102743.251,561.039,31.62056
19,4649.9968,46338.683,5311.198,185078.304,186243.636,61.20107,95037.307,83513.958,1289.273,29.58051
20,4596.169839,50285.505,5288.481,182002.204,177884.64,60.18104,86935.272,94369.175,321.252,30.60053
21,4322.991852,37195.6966,4898.392,160992.216,170238.876,57.12097,74084.118,75865.028,1317.8016,26.52044
22,4419.674043,27710.4006,4821.249,140089.184,142776.138,48.96079,66040.177,66933.534,733.708,22.44035
23,4770.737,29604.21,5169.358,134933.306,148137.282,45.90072,68890.233,81211.916,329.838,23.46037
24,4391.440316,17958.452,4654.493,127360.306,132489.178,41.82062,58444.503,51264.764,79.587,18.36025
25,4783.887032,49134.5625,5466.726,153579.052,146379.608,48.96078,95167.016,95110.824,1236.6045,30.60053
26,4616.8637,20819.8045,4899.566,160997.172,150931.032,49.98081,65804.116,55781.651,319.964,19.38028
27,4540.4632,20024.649,4855.332,120870.326,120138.02,38.76056,55063.678,64381.495,1592.497,19.38028
28,4570.956619,23448.3075,4908.017,114921.428,130897.882,39.78058,59874.029,66488.166,1319.4785,20.4003
29,4848.265857,41037.3865,5388.911,142379.882,160328.044,47.94076,82470.166,93890.767,432.338,27.54046
30,4504.946957,26840.159,4896.426,146791.79,165225.206,49.98081,64314.43,71325.943,595.617,22.44035
31,4631.5125,29402.374,5037.059,138315.326,143041.98,45.90072,74021.833,71714.09,121.497,23.46037
32,4996.031,56105.716,5715.955,185540.266,171080.312,56.10095,111512.363,99364.656,33.327,32.64058
33,4881.896621,42820.347,5453.843,210564.892,183445.458,61.20107,99111.296,84083.649,215.014,28.56049
34,4903.182276,43049.083,5472.656,184383.54,183027.242,57.12098,85255.065,98964.201,325.219,28.56049
35,4480.559304,26753.242,4895.882,155001.604,164150.97,51.00084,69751.317,65164.685,1610.832,22.44035
36,4542.952632,19227.119,4807.975,120960.192,127431.716,40.8006,51224.101,62255.288,632.361,18.36025
37,4624.375619,22450.432,4934.859,121201.81,119823.982,38.76055,69957.665,57594.966,241.714,20.4003
38,5043.975727,56222.3369,5776.464,180513.426,160538.078,53.04088,110558.938,102930.484,1134.5309,32.64058
